Model,SplittingMethod,Hashing,Canonical,Shrinkage,Ordering,recentHist,FK_calls,Successful_Hashtable_Fetch,Backtracking_Counts,Backtracking_Length,Seen_Nodes
BIOMD0000000034,mostFreq,1,1,1,1,1,678,45,0,0,86
BIOMD0000000034,mostFreq,1,1,1,1,0,678,45,0,0,86
BIOMD0000000034,mostFreq,1,1,1,0,0,678,45,0,0,86
BIOMD0000000034,mostFreq,1,1,0,1,1,684,46,0,0,86
BIOMD0000000034,mostFreq,1,1,0,1,0,684,46,0,0,86
BIOMD0000000034,mostFreq,1,1,0,0,0,684,46,0,0,86
BIOMD0000000034,mostFreq,1,0,1,1,1,678,45,0,0,86
BIOMD0000000034,mostFreq,1,0,1,1,0,678,45,0,0,86
BIOMD0000000034,mostFreq,1,0,1,0,0,678,45,0,0,86
BIOMD0000000034,mostFreq,1,0,0,1,1,684,46,0,0,86
BIOMD0000000034,mostFreq,1,0,0,1,0,684,46,0,0,86
BIOMD0000000034,mostFreq,1,0,0,0,0,684,46,0,0,86
BIOMD0000000034,mostFreq,0,0,1,1,1,1748,0,4,8,303
BIOMD0000000034,mostFreq,0,0,1,1,0,1748,0,4,8,303
BIOMD0000000034,mostFreq,0,0,1,0,0,1748,0,4,8,303
BIOMD0000000034,mostFreq,0,0,0,1,1,2352,0,4,8,423
BIOMD0000000034,mostFreq,0,0,0,1,0,2352,0,4,8,423
BIOMD0000000034,mostFreq,0,0,0,0,0,2352,0,4,8,423
BIOMD0000000034,weightedVars,1,1,1,1,1,817,2,2,8,214
BIOMD0000000034,weightedVars,1,1,1,1,0,817,2,2,8,214
BIOMD0000000034,weightedVars,1,1,1,0,0,817,2,2,8,214
BIOMD0000000034,weightedVars,1,1,0,1,1,666,1,23,54,249
BIOMD0000000034,weightedVars,1,1,0,1,0,666,1,23,54,249
BIOMD0000000034,weightedVars,1,1,0,0,0,666,1,23,54,249
BIOMD0000000034,weightedVars,1,0,1,1,1,817,2,2,8,214
BIOMD0000000034,weightedVars,1,0,1,1,0,817,2,2,8,214
BIOMD0000000034,weightedVars,1,0,1,0,0,817,2,2,8,214
