Model,Redundancy_FK,Redundancy_FKR,Comparisons_FK,Comparisons_FKR
BIOMD0000000034,3792,3227,95683,54811
BIOMD0000000042,8855,6167,238152,123688
BIOMD0000000048,66213,41619,14118856,6164134
BIOMD0000000089,41002,38256,4389480,3050220
BIOMD0000000093,100774,80533,17444050,12455271
BIOMD0000000094,105905,82250,17321043,12288526
BIOMD0000000106,289,199,3327,1120
BIOMD0000000107,224,141,3445,1077
BIOMD0000000108,5529,3657,286139,127908
BIOMD0000000110,2549,2087,56468,32202
BIOMD0000000162,551948,541883,238933470,186636018
BIOMD0000000163,15821,14025,1722517,1057850
BIOMD0000000165,250,139,3300,1368
BIOMD0000000166,648,464,11946,6687
BIOMD0000000169,14898,13482,1025245,622761
BIOMD0000000170,867,580,20552,11597
BIOMD0000000171,3805,2539,182492,102126
BIOMD0000000173,287,149,5437,2123
BIOMD0000000228,13077,10879,1028531,637998
